Y,M,D,HH,MM,BOROUGH_x,LATITUDE,LONGITUDE,STREET NAME,CROSS STREET NAME,OFF STREET NAME,NUMBER OF PERSONS INJURED,NUMBER OF PERSONS KILLED,temperature_2m (°C),precipitation (mm),rain (mm),cloudcover_low (%),windspeed_10m (km/h),winddirection_10m (°),BOROUGH_y,VOL
2019,9,24,10,15,BROOKLYN,40.641113,-74.003716,8 AVENUE,50 STREET,,0,0,18.3,0.0,0.0,0.0,10.1,287.0,BROOKLYN,74.0
2019,9,24,0,0,MANHATTAN,40.716454,-73.98058,DELANCEY STREET,COLUMBIA STREET,,0,0,26.2,0.0,0.0,2.0,11.9,215.0,BROOKLYN,13.5
2019,9,25,8,30,QUEENS,40.692726,-73.85558,89 STREET,JAMAICA AVENUE,,0,0,16.0,0.0,0.0,0.0,8.0,297.0,QUEENS,60.5
2019,9,25,8,30,QUEENS,40.708508,-73.84858,72 AVENUE,UNION TURNPIKE,,0,0,16.0,0.0,0.0,0.0,8.0,297.0,QUEENS,309.0
2019,9,25,8,0,BROOKLYN,40.671852,-74.00325,BAY STREET,CLINTON STREET,,1,0,16.0,0.0,0.0,0.0,8.0,297.0,BROOKLYN,85.0
2019,9,25,9,15,BROOKLYN,40.673298,-74.00835,BAY STREET,COLUMBIA STREET,,0,0,15.5,0.0,0.0,0.0,8.1,302.0,BROOKLYN,78.5
2019,9,25,9,45,MANHATTAN,40.773033,-73.98221,WEST 65 STREET,BROADWAY,,0,0,15.5,0.0,0.0,0.0,8.1,302.0,MANHATTAN,74.0
2019,9,25,15,15,BROOKLYN,40.62332,-73.99713,15 AVENUE,65 STREET,,0,0,21.4,0.0,0.0,55.0,8.2,293.0,BROOKLYN,234.75
2019,9,25,17,45,MANHATTAN,40.750957,-73.98273,WEST 38 STREET,5 AVENUE,,0,0,23.1,0.0,0.0,46.0,10.0,291.0,BROOKLYN,86.0
2019,9,25,17,45,QUEENS,40.702354,-73.818756,134 STREET,JAMAICA AVENUE,,0,0,23.1,0.0,0.0,46.0,10.0,291.0,QUEENS,80.5
2019,9,25,17,0,MANHATTAN,40.7674,-73.98238,WEST 58 STREET,8 AVENUE,,0,0,23.1,0.0,0.0,46.0,10.0,291.0,BROOKLYN,63.0
2019,9,25,18,30,MANHATTAN,40.748436,-73.984566,WEST 34 STREET,5 AVENUE,,0,0,23.7,0.0,0.0,0.0,9.3,286.0,BROOKLYN,79.0
2019,9,25,12,30,BROOKLYN,40.63396,-74.01476,7 AVENUE,65 STREET,,0,0,14.8,0.0,0.0,9.0,5.7,288.0,BROOKLYN,193.25
2019,9,25,19,0,MANHATTAN,40.78791,-73.95579,EAST 96 STREET,5 AVENUE,,0,0,24.0,0.0,0.0,0.0,8.7,275.0,BROOKLYN,67.0
2019,9,25,19,45,,40.726376,-73.76624,GRAND CENTRAL PARKWAY,FRANCIS LEWIS BOULEVARD,,0,0,24.0,0.0,0.0,0.0,8.7,275.0,QUEENS,88.0
